			Gravity FAA (Sandwell et al, v24.1)	EMAG2 (2-arc-minute resolution, 2013)	Gravity (Sandwell and Smith 97)	GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Free-Air Anomaly (mgal)	Magnetic Anomaly (nT)	Gravity Anomaly (mgal)	Elevation (m)
-106.94531	8.980578	0.0	3.060852	-32.22461	2.0729747	-3514.5376
-106.93655	8.9812975	0.96598446	3.0065837	-27.61454	1.9743438	-3455.4314
-106.92778	8.982016	1.9319689	2.7795877	-21.667221	1.8564081	-3427.5508
-106.919014	8.982733	2.8979533	2.550162	-14.9650755	1.6553497	-3400.511
-106.910255	8.983451	3.8639376	2.2381196	-8.115152	1.3960694	-3361.0952
-106.90149	8.984168	4.829922	1.7730919	-0.6600916	1.1804738	-3433.5537
-106.89272	8.984885	5.7959065	1.1601611	7.5220766	1.0153743	-3377.0288
-106.88396	8.985602	6.761891	0.32393667	15.229205	0.94715905	-3229.0105
-106.87519	8.98632	7.727875	-0.5315902	21.265478	0.9402697	-3283.7383
-106.866425	8.987037	8.69386	-1.216051	25.522364	0.95191485	-3342.6213
-106.85766	8.987753	9.659844	-1.681457	28.578506	1.0038342	-3366.6133
-106.84889	8.988469	10.625829	-1.7354598	30.150026	1.1143686	-3384.24
-106.84013	8.989185	11.591813	-1.560291	29.954588	1.201419	-3404.544
-106.83137	8.989901	12.557797	-1.2684039	27.341993	1.2036815	-3420.2156
-106.8226	8.990617	13.523782	-0.96128434	22.587492	1.2151107	-3431.3164
-106.813835	8.991332	14.489766	-0.840705	16.930897	1.2520769	-3437.1836
-106.80507	8.992047	15.45575	-0.7971325	11.623347	1.2847683	-3434.729
-106.7963	8.992763	16.421736	-0.8051715	6.5293493	1.3157744	-3428.391
-106.78754	8.993477	17.38772	-0.78659797	1.0840111	1.4427985	-3418.2551
-106.77877	8.994191	18.353704	-0.60456014	-3.7481582	1.6519644	-3406.3972
-106.770004	8.994906	19.319689	-0.29520372	-7.023548	1.8543301	-3393.2488
-106.76124	8.99562	20.285673	0.19591895	-8.34379	2.0537167	-3383.4473
-106.75247	8.996334	21.251657	0.74088514	-8.271097	2.1863456	-3375.9436
-106.743706	8.997048	22.217642	1.2387791	-7.1997604	2.2358303	-3368.9934
-106.73494	8.997762	23.183626	1.5688413	-5.5126343	2.1402733	-3362.321
-106.72617	8.998475	24.14961	1.4497302	-2.7948322	1.920779	-3353.1816
-106.71741	8.999188	25.115595	1.0564678	1.0945247	1.5749019	-3333.0757
-106.70864	8.999901	26.08158	0.45491368	4.999751	1.172216	-3316.2378
-106.69988	9.000614	27.047564	-0.18162711	7.776244	0.826317	-3323.7253
-106.69112	9.001327	28.013548	-0.55773395	9.166513	0.5266448	-3304.269
-106.68235	9.002039	28.979532	-0.7037522	9.82101	0.27601108	-3278.7888
-106.673584	9.00275	29.945517	-0.5052716	9.603907	0.16259007	-3272.3726
-106.66482	9.003463	30.9115	-0.10659507	8.363507	0.23742127	-3232.9456
-106.65605	9.004174	31.877485	0.38836426	5.6857095	0.48772714	-3259.7905
-106.647285	9.004886	32.84347	0.8774924	1.6713889	0.91082835	-3388.2522
-106.63852	9.005597	33.809456	1.1265973	-2.8399618	1.506777	-3314.4004
-106.62975	9.006309	34.77544	1.1969476	-7.0042624	2.279377	-3303.1104
-106.62099	9.007019	35.741425	1.0306631	-10.779211	3.0387475	-3307.9568
-106.61222	9.00773	36.70741	0.70072436	-14.641549	3.7637758	-3344.282
-106.603455	9.00844	37.673393	0.30800492	-18.031603	4.3232627	-3263.6965
