			GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Elevation (m)
-101.55762	10.07271	0.0	-3491.9236
-101.566345	10.071602	0.96359205	-3595.3108
-101.57507	10.070493	1.9271841	-3596.8245
-101.5838	10.069384	2.8907762	-3551.4292
-101.59254	10.0682745	3.8543682	-3526.704
-101.601265	10.067164	4.8179603	-3511.7488
-101.60999	10.066054	5.7815523	-3505.3801
-101.61872	10.064944	6.7451444	-3502.6292
-101.62745	10.063834	7.7087364	-3509.6155
-101.63618	10.062724	8.672329	-3504.9001
-101.644905	10.061613	9.6359215	-3498.9788
-101.65363	10.060502	10.599514	-3477.506
-101.66236	10.059391	11.563107	-3484.8118
-101.67109	10.058279	12.526699	-3481.26
-101.67982	10.057168	13.490292	-3591.2278
-101.688545	10.056056	14.453884	-3660.4375
-101.69727	10.054944	15.417477	-3562.4363
-101.706	10.053831	16.38107	-3536.2258
-101.71473	10.052719	17.344662	-3455.7424
-101.72346	10.051606	18.308254	-3464.8167
-101.732185	10.050493	19.271847	-3509.4204
-101.74091	10.049379	20.23544	-3603.4824
-101.74964	10.048266	21.199032	-3525.4297
-101.75837	10.0471525	22.162624	-3536.7256
-101.7671	10.046039	23.126217	-3562.4443
-101.775826	10.044924	24.08981	-3475.3005
-101.78455	10.04381	25.053402	-3443.7761
-101.79328	10.042695	26.016994	-3473.2378
-101.80201	10.04158	26.980587	-3449.4417
-101.81074	10.040465	27.94418	-3449.928
-101.819466	10.03935	28.907772	-3534.8486
-101.82819	10.038234	29.871365	-3553.2224
-101.83692	10.037119	30.834957	-3599.487
-101.84565	10.036002	31.79855	-3596.0713
-101.85437	10.034886	32.762142	-3570.552
-101.8631	10.03377	33.725735	-3535.33
-101.871826	10.032653	34.689327	-3505.2563
-101.880554	10.031536	35.65292	-3467.9922
-101.88928	10.030419	36.616512	-3433.3096
-101.89801	10.029302	37.580105	-3476.6716
-101.90674	10.028184	38.543697	-3550.0515
-101.91546	10.027066	39.50729	-3544.915
-101.92419	10.025948	40.470882	-3514.5593
-101.932915	10.02483	41.434475	-3460.9272
-101.94164	10.023711	42.398067	-3433.0261
-101.95037	10.022593	43.36166	-3449.936
-101.95909	10.021474	44.325253	-3453.8745
-101.96782	10.020354	45.288845	-3442.2231
-101.97655	10.019235	46.252438	-3438.7078
-101.985275	10.018115	47.21603	-3438.3489
-101.993996	10.016995	48.179623	-3435.0386
-102.00272	10.015875	49.143215	-3427.6426
-102.01145	10.014755	50.106808	-3417.472
-102.02018	10.013634	51.0704	-3404.8
-102.0289	10.012513	52.033993	-3389.4995
-102.03763	10.011393	52.997585	-3378.3054
-102.04636	10.010271	53.961178	-3383.7754
-102.055084	10.00915	54.92477	-3402.2966
-102.063805	10.008028	55.888363	-3427.3596
-102.07253	10.006906	56.851955	-3458.584
-102.08126	10.005784	57.815548	-3454.0557
-102.08998	10.004662	58.77914	-3398.2378
-102.09871	10.003539	59.742733	-3375.745
-102.10744	10.002416	60.706326	-3377.1306
-102.11616	10.001293	61.669918	-3386.6836
-102.124886	10.00017	62.63351	-3328.6545
-102.133606	9.999046	63.597103	-3255.8623
-102.142334	9.997922	64.56069	-3234.4094
-102.15106	9.9967985	65.524284	-3239.1665
-102.15978	9.995674	66.48788	-3263.5415
-102.16851	9.99455	67.45147	-3286.767
-102.17723	9.993425	68.41506	-3310.1377
-102.18596	9.9923	69.378654	-3331.414
-102.19469	9.991175	70.34225	-3348.65
-102.20341	9.990049	71.30584	-3362.5676
-102.212135	9.988924	72.26943	-3369.7883
-102.220856	9.987799	73.233025	-3363.8743
-102.22958	9.986672	74.19662	-3350.8782
-102.238304	9.985546	75.16021	-3338.4065
-102.24703	9.98442	76.1238	-3326.8267
-102.25575	9.983293	77.087395	-3319.129
-102.26448	9.982166	78.05099	-3314.8018
-102.2732	9.981039	79.01458	-3311.2612
-102.28193	9.979911	79.97817	-3310.867
-102.29065	9.978784	80.941765	-3316.638
-102.29938	9.977655	81.90536	-3325.7112
-102.3081	9.976528	82.86895	-3337.3503
-102.316826	9.975399	83.83254	-3354.4204
-102.32555	9.974271	84.796135	-3373.9226
-102.334274	9.973143	85.75973	-3392.3667
-102.342995	9.972013	86.72332	-3411.0725
