Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Vel.(m/s)
306,1313,A,1,H,1,62.5,0.625,1483.6
306,1313,A,1,H,1,65,0.65,1484.4
306,1313,A,1,H,1,67.5,0.675,1481.9
306,1313,A,1,H,1,70,0.7,1483
306,1313,A,1,H,1,75,0.75,1479.8
306,1313,A,1,H,1,77.5,0.775,1480
306,1313,A,1,H,1,80,0.8,1483.1
306,1313,A,1,H,1,82.5,0.825,1482.1
306,1313,A,1,H,1,85,0.85,1482.7
306,1313,A,1,H,1,87.5,0.875,1484.9
306,1313,A,1,H,1,90,0.9,1483.9
306,1313,A,1,H,1,92.5,0.925,1486.6
306,1313,A,1,H,1,95,0.95,1484.9
306,1313,A,1,H,1,97.5,0.975,1496.7
306,1313,A,1,H,1,100,1,1508.6
306,1313,A,1,H,1,102.5,1.025,1506
306,1313,A,1,H,1,105,1.05,1486.8
306,1313,A,1,H,1,107.5,1.075,1485.6
306,1313,A,1,H,1,110,1.1,1485.4
306,1313,A,1,H,1,112.5,1.125,1484.1
306,1313,A,1,H,1,115,1.15,1484.6
306,1313,A,1,H,1,117.5,1.175,1484.1
306,1313,A,1,H,1,120,1.2,1486.6
306,1313,A,1,H,1,125,1.25,1485.6
306,1313,A,1,H,1,127.5,1.275,1483.9
306,1313,A,1,H,1,130,1.3,1486.2
306,1313,A,1,H,1,132.5,1.325,1488.1
306,1313,A,1,H,1,135,1.35,1485.1
306,1313,A,1,H,1,137.5,1.375,1486
306,1313,A,1,H,1,140,1.4,1485.7
306,1313,A,1,H,2,10,1.6,1486.3
306,1313,A,1,H,2,12.5,1.625,1485.7
306,1313,A,1,H,2,15,1.65,1484.5
306,1313,A,1,H,2,17.5,1.675,1482.9
306,1313,A,1,H,2,22.5,1.725,1485.6
306,1313,A,1,H,2,30,1.8,1482.1
306,1313,A,1,H,2,35,1.85,1483.8
306,1313,A,1,H,2,42.5,1.925,1486.6
306,1313,A,1,H,2,45,1.95,1479.8
306,1313,A,1,H,2,47.5,1.975,1484.1
306,1313,A,1,H,2,50,2,1482
306,1313,A,1,H,2,62.5,2.125,1486.3
306,1313,A,1,H,2,65,2.15,1486.2
306,1313,A,1,H,2,70,2.2,1489.7
306,1313,A,1,H,2,97.5,2.475,1482.9
306,1313,A,1,H,2,100,2.5,1483.3
306,1313,A,1,H,2,102.5,2.525,1480.6
306,1313,A,1,H,2,105,2.55,1481.1
306,1313,A,1,H,2,107.5,2.575,1484.7
306,1313,A,1,H,2,110,2.6,1483.8
306,1313,A,1,H,2,112.5,2.625,1486.5
306,1313,A,1,H,2,115,2.65,1487.4
306,1313,A,1,H,2,117.5,2.675,1489.4
306,1313,A,1,H,2,120,2.7,1491.6
306,1313,A,1,H,2,130,2.8,1488.6
306,1313,A,1,H,2,132.5,2.825,1484.9
306,1313,A,1,H,2,135,2.85,1483.2
306,1313,A,1,H,3,12.5,3.125,1490.9
306,1313,A,1,H,3,52.5,3.525,1485.7
306,1313,A,1,H,3,55,3.55,1483.5
306,1313,A,1,H,3,60,3.6,1482.7
306,1313,A,1,H,3,62.5,3.625,1482.2
306,1313,A,1,H,3,65,3.65,1484.2
306,1313,A,1,H,3,67.5,3.675,1483
306,1313,A,1,H,3,70,3.7,1482.1
306,1313,A,1,H,3,72.5,3.725,1480.1
306,1313,A,1,H,3,75,3.75,1481.6
306,1313,A,1,H,3,77.5,3.775,1482.1
306,1313,A,1,H,3,80,3.8,1483.7
306,1313,A,1,H,3,82.5,3.825,1482.2
306,1313,A,1,H,3,85,3.85,1486
306,1313,A,1,H,3,87.5,3.875,1486.5
306,1313,A,1,H,3,90,3.9,1490.3
306,1313,A,1,H,3,92.5,3.925,1494.4
306,1313,A,1,H,3,95,3.95,1494.5
306,1313,A,1,H,3,115,4.15,1500.4
306,1313,A,1,H,4,17.5,4.675,1504.8
306,1313,A,2,H,1,70,5.9,1485
306,1313,A,2,H,1,72.5,5.925,1480.9
306,1313,A,2,H,1,75,5.95,1483.9
306,1313,A,2,H,1,77.5,5.975,1482.2
306,1313,A,2,H,1,80,6,1478.7
306,1313,A,2,H,1,82.5,6.025,1481.5
306,1313,A,2,H,1,85,6.05,1484.2
306,1313,A,2,H,1,87.5,6.075,1481
306,1313,A,2,H,1,90,6.1,1482.7
306,1313,A,2,H,1,92.5,6.125,1480.5
306,1313,A,2,H,1,95,6.15,1478.2
306,1313,A,2,H,1,97.5,6.175,1479.3
306,1313,A,2,H,1,100,6.2,1479.7
306,1313,A,2,H,1,102.5,6.225,1482.2
306,1313,A,2,H,1,105,6.25,1482.4
306,1313,A,2,H,1,107.5,6.275,1480.5
306,1313,A,2,H,1,110,6.3,1482
306,1313,A,2,H,1,112.5,6.325,1480
306,1313,A,2,H,1,115,6.35,1479.5
306,1313,A,2,H,1,117.5,6.375,1482.3
306,1313,A,2,H,1,120,6.4,1481.1
306,1313,A,2,H,1,122.5,6.425,1481.2
306,1313,A,2,H,1,125,6.45,1481.3
306,1313,A,2,H,1,127.5,6.475,1484.2
306,1313,A,2,H,1,130,6.5,1488.5
306,1313,A,2,H,1,137.5,6.575,1492
306,1313,A,2,H,1,140,6.6,1491.9
306,1313,A,2,H,2,20,6.9,1489.2
306,1313,A,2,H,2,32.5,7.025,1489.9
306,1313,A,2,H,2,47.5,7.175,1488.4
306,1313,A,2,H,2,50,7.2,1490.4
306,1313,A,2,H,2,52.5,7.225,1486.3
306,1313,A,2,H,2,55,7.25,1485.8
306,1313,A,2,H,2,87.5,7.575,1490.5
306,1313,A,2,H,2,90,7.6,1489.6
306,1313,A,2,H,2,105,7.75,1487.1
306,1313,A,2,H,2,107.5,7.775,1485.7
306,1313,A,2,H,2,112.5,7.825,1486.7
306,1313,A,2,H,2,115,7.85,1479.8
306,1313,A,2,H,2,117.5,7.875,1480.9
306,1313,A,2,H,2,120,7.9,1480
306,1313,A,2,H,2,122.5,7.925,1481.2
306,1313,A,2,H,2,125,7.95,1485
306,1313,A,2,H,2,127.5,7.975,1487.2
306,1313,A,2,H,2,130,8,1487.1
306,1313,A,2,H,2,132.5,8.025,1490.5
306,1313,A,2,H,2,135,8.05,1491.6
306,1313,A,2,H,2,137.5,8.075,1490.8
306,1313,A,2,H,2,140,8.1,1489
306,1313,A,2,H,3,10,8.3,1490.6
306,1313,A,2,H,3,12.5,8.325,1489.2
306,1313,A,2,H,3,35,8.55,1494.3
306,1313,A,2,H,3,50,8.7,1496.3
306,1313,A,2,H,3,57.5,8.775,1500.5
306,1313,A,2,H,3,60,8.8,1500.9
306,1313,A,2,H,3,65,8.85,1497.2
306,1313,A,2,H,3,72.5,8.925,1492.5
306,1313,A,2,H,3,80,9,1493.4
306,1313,A,2,H,3,82.5,9.025,1492.7
306,1313,A,2,H,3,95,9.15,1496.4
306,1313,A,2,H,3,97.5,9.175,1498.5
306,1313,A,2,H,3,100,9.2,1503
306,1313,A,2,H,3,102.5,9.225,1500.5
306,1313,A,2,H,3,105,9.25,1498.9
306,1313,A,2,H,4,42.5,10.125,1490.3
306,1313,A,2,H,4,50,10.2,1486
306,1313,A,2,H,4,52.5,10.225,1485.3
306,1313,A,2,H,4,60,10.3,1495.4
306,1313,A,2,H,4,62.5,10.325,1498.8
306,1313,A,2,H,4,72.5,10.425,1492.3
306,1313,A,2,H,4,75,10.45,1489.4
306,1313,A,2,H,4,80,10.5,1484.3
306,1313,A,2,H,4,82.5,10.525,1485.5
306,1313,A,2,H,4,85,10.55,1484.7
306,1313,A,2,H,4,87.5,10.575,1488.8
306,1313,A,2,H,4,92.5,10.625,1494
306,1313,A,2,H,4,95,10.65,1492.6
306,1313,A,2,H,4,97.5,10.675,1494.8
306,1313,A,2,H,4,100,10.7,1491.4
306,1313,A,2,H,4,102.5,10.725,1491.5
306,1313,A,2,H,4,105,10.75,1495.1
306,1313,A,2,H,4,110,10.8,1491.5
306,1313,A,2,H,4,112.5,10.825,1487.5
306,1313,A,2,H,4,115,10.85,1489
306,1313,A,2,H,4,117.5,10.875,1487.5
306,1313,A,2,H,4,120,10.9,1490.3
