			EMAG2 (2-arc-minute resolution, 2013)	Gravity FAA (Sandwell et al, v24.1)	Gravity (Sandwell and Smith 97)	GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Magnetic Anomaly (nT)	Free-Air Anomaly (mgal)	Gravity Anomaly (mgal)	Elevation (m)
-53.789062	29.504637	0.0	-22.41211	-22.939148	-22.19433	-5080.1333
-53.753998	29.49712	3.4949722	-4.868731	-22.89928	-23.494255	-5167.7847
-53.718937	29.489592	6.9899445	4.6877856	-22.426655	-23.230774	-5232.8813
-53.683884	29.482056	10.484917	12.78396	-20.999378	-21.53113	-5208.454
-53.648834	29.47451	13.979889	23.417215	-20.136726	-21.29562	-5164.279
-53.61379	29.466957	17.474861	35.838158	-20.089216	-22.240993	-5218.85
-53.57875	29.459393	20.969833	50.861084	-20.860458	-23.12599	-5142.753
-53.543716	29.45182	24.464806	66.50862	-19.334734	-21.238625	-4917.778
-53.50869	29.444239	27.959778	76.55996	-15.6009	-16.85126	-4999.4316
-53.473667	29.436647	31.45475	74.04168	-12.25964	-14.677259	-5169.22
-53.43865	29.429047	34.949722	59.111847	-10.96208	-14.676769	-5334.048
-53.403633	29.421436	38.444695	37.73125	-11.408911	-14.07515	-5529.971
-53.368626	29.413818	41.939667	20.95587	-11.949718	-12.146513	-5468.8916
-53.333626	29.40619	45.43464	17.376919	-11.992657	-10.4342785	-5289.686
-53.29863	29.398554	48.92961	25.237541	-11.863657	-10.338941	-5139.1245
-53.263638	29.390907	52.424583	42.860123	-9.914706	-11.037375	-5056.435
-53.22865	29.383251	55.919556	66.263596	-9.192814	-11.622963	-5052.456
-53.19367	29.375587	59.414528	83.13747	-12.123693	-13.33928	-5166.1123
-53.15869	29.367914	62.9095	80.56558	-17.010555	-17.746677	-5401.0015
-53.123722	29.360231	66.40447	63.345566	-23.688595	-23.991644	-5678.8394
-53.088757	29.35254	69.899445	44.00017	-27.265549	-28.574905	-5856.4756
-53.053795	29.34484	73.39442	31.104921	-27.831728	-29.75025	-5848.2036
-53.01884	29.33713	76.88939	25.826942	-26.439148	-27.52764	-5705.0947
-52.98389	29.32941	80.38436	20.721842	-23.624895	-23.20353	-5329.8857
-52.948948	29.321682	83.87933	12.57027	-18.262758	-17.81788	-4961.625
-52.91401	29.313944	87.374306	2.336568	-14.151352	-14.672295	-4997.5117
-52.879074	29.306198	90.86928	-9.047853	-15.314767	-15.6583605	-5173.5176
-52.844147	29.298443	94.36425	-20.696768	-17.758797	-17.744328	-5396.2646
-52.809223	29.290678	97.85922	-32.150826	-18.980999	-17.680405	-5497.657
-52.774307	29.282904	101.354195	-40.956985	-17.226973	-14.895238	-5398.7144
-52.739395	29.275122	104.84917	-45.32208	-12.536854	-10.554826	-5209.228
-52.704487	29.26733	108.34414	-49.210125	-7.2373137	-6.0723014	-5145.036
-52.669586	29.25953	111.83911	-56.284153	-4.8215	-4.3508267	-5140.107
-52.63469	29.251719	115.33408	-63.924187	-6.564581	-6.107072	-5180.1475
-52.599796	29.2439	118.829056	-69.52663	-8.910979	-7.9198117	-5273.104
-52.56491	29.236073	122.32403	-70.03667	-8.81538	-8.713942	-5326.0176
-52.530033	29.228235	125.819	-60.55273	-9.26825	-8.606472	-5289.926
-52.495155	29.220388	129.31396	-39.333675	-8.189001	-7.898469	-5247.4917
-52.460285	29.212534	132.80893	-14.119079	-9.360782	-7.6277137	-5374.7603
-52.425423	29.20467	136.3039	7.383746	-12.37531	-10.338173	-5436.395
-52.390564	29.196796	139.79886	23.500767	-15.157617	-16.35432	-5286.448
-52.35571	29.188913	143.29382	33.068356	-20.073174	-22.496746	-5644.782
-52.32086	29.181023	146.78879	31.651352	-24.218996	-25.021387	-5678.7485
-52.28602	29.173122	150.28375	19.492935	-23.528011	-22.536062	-5508.9863
-52.251183	29.165213	153.77872	3.6909318	-18.358889	-17.711613	-5235.4644
-52.21635	29.157295	157.27368	-11.867366	-12.366125	-13.403331	-5153.4224
-52.181522	29.149366	160.76865	-24.682476	-8.551465	-10.763239	-5101.821
-52.1467	29.141432	164.26361	-31.252531	-7.096464	-10.385933	-5071.1406
-52.111885	29.133486	167.75858	-33.024788	-9.66654	-12.746453	-5155.3267
-52.077072	29.12553	171.25354	-32.844723	-15.061962	-16.74874	-5307.81
-52.042267	29.117567	174.7485	-32.975136	-20.35415	-20.111155	-5444.6724
-52.00747	29.109596	178.24347	-34.239662	-22.514332	-21.613565	-5500.554
-51.972675	29.101614	181.73843	-34.210445	-22.81492	-22.286333	-5478.1875
-51.937885	29.093624	185.2334	-25.517105	-22.943117	-22.245893	-5414.815
-51.903103	29.085625	188.72836	-8.212726	-22.025406	-21.702696	-5356.9307
-51.868324	29.077616	192.22333	11.046323	-21.1128	-22.102676	-5334.1724
-51.83355	29.0696	195.71829	22.315535	-21.934702	-23.034647	-5337.12
-51.798782	29.061573	199.21326	23.623907	-22.5681	-22.45115	-5335.802
-51.76402	29.053537	202.70822	19.349012	-23.364664	-21.07292	-5320.4033
-51.729263	29.045494	206.20319	15.611743	-24.798712	-21.507921	-5304.136
-51.69451	29.037441	209.69815	11.304447	-24.685665	-23.375763	-5310.865
-51.659767	29.029379	213.19312	4.0885363	-23.748564	-24.041859	-5347.8315
-51.625027	29.021307	216.68808	-2.7192063	-21.091442	-22.049124	-5377.548
-51.59029	29.013227	220.18304	-2.6348982	-19.634188	-18.81309	-5341.8945
-51.55556	29.005138	223.67801	6.9512887	-18.072166	-16.918755	-5280.802
-51.52084	28.997042	227.17297	18.698925	-16.127176	-16.926044	-5229.783
-51.48612	28.988935	230.66794	22.507845	-11.541848	-15.250271	-5176.0576
-51.451405	28.98082	234.1629	13.145726	-7.9396276	-12.214663	-5116.733
-51.4167	28.972694	237.65787	-6.0091333	-7.0811486	-9.403094	-5068.893
-51.381996	28.964561	241.15283	-26.319714	-7.852836	-7.8720384	-5071.094
-51.347298	28.956419	244.6478	-41.827988	-10.600154	-10.686801	-5127.401
-51.312607	28.948269	248.14276	-50.04794	-13.94421	-15.47172	-5190.129
-51.277924	28.940107	251.63773	-47.746437	-16.951065	-17.41251	-5216.2256
-51.24324	28.93194	255.13269	-34.6754	-18.381222	-17.020681	-5205.8564
-51.20857	28.923761	258.62766	-14.822282	-17.294907	-16.29367	-5178.6523
-51.173897	28.915575	262.12262	4.2441545	-16.279135	-16.282532	-5202.814
-51.139233	28.90738	265.61758	15.028111	-15.781531	-16.978504	-5273.634
-51.104576	28.899174	269.11255	16.266525	-15.049044	-15.914103	-5181.216
-51.069923	28.89096	272.6075	8.93363	-12.138623	-11.651751	-4927.1895
-51.035275	28.88274	276.10248	-6.616512	-9.110875	-8.159006	-4685.8115
-51.000633	28.874508	279.59744	-27.19489	-9.905027	-8.678217	-4668.982
-50.965996	28.866268	283.0924	-46.15001	-9.931224	-9.8015785	-4744.4043
-50.931366	28.858019	286.58737	-56.65761	-7.4853926	-8.94748	-4797.277
-50.89674	28.849762	290.08234	-58.122623	-5.926997	-9.089982	-4967.758
-50.862118	28.841496	293.5773	-50.19448	-6.655791	-12.564488	-5237.133
-50.827503	28.83322	297.07227	-36.17471	-10.356717	-15.56186	-5385.1987
-50.792896	28.824936	300.56723	-20.38193	-15.75279	-15.700582	-5267.806
-50.758293	28.816643	304.0622	-6.146799	-17.305994	-13.768792	-5664.39
-50.723694	28.808342	307.55716	9.684402	-14.579881	-12.161003	-5569.175
-50.689102	28.80003	311.05212	32.75425	-11.032285	-11.455821	-5213.0635
-50.654514	28.791712	314.5471	54.3207	-8.020754	-9.5567665	-5038.165
-50.619934	28.783382	318.04205	64.28071	-6.4438205	-8.50824	-5240.767
-50.585358	28.775045	321.53702	61.35694	-7.396423	-9.398878	-5137.912
-50.550785	28.7667	325.03198	52.435772	-9.512744	-10.268651	-5061.588
-50.51622	28.758345	328.52695	40.15705	-13.669549	-13.107617	-4962.25
-50.481663	28.749983	332.0219	21.663969	-17.923601	-17.8481	-5337.826
-50.44711	28.74161	335.51688	-3.0914342	-19.909977	-20.344875	-5523.9805
-50.41256	28.733229	339.01184	-29.998285	-18.767246	-18.240833	-5333.014
-50.378017	28.724838	342.5068	-50.049328	-13.844964	-13.016753	-4920.1675
-50.34348	28.71644	346.00177	-60.77209	-10.514529	-9.876512	-4648.927
-50.30895	28.708033	349.49673	-66.21353	-11.100412	-11.180327	-4794.284
-50.27442	28.699617	352.9917	-77.52272	-12.144478	-13.553388	-5024.3
-50.239902	28.691193	356.48666	-93.85948	-11.733208	-13.899899	-5170.0303
-50.205387	28.682758	359.98163	-102.033226	-10.3162155	-12.472209	-5213.41
-50.170876	28.674316	363.4766	-83.35085	-10.26837	-11.124579	-5196.669
-50.13637	28.665865	366.97156	-41.92846	-11.615286	-10.932476	-5179.417
-50.101875	28.657406	370.46652	3.720667	-11.770458	-11.184013	-5167.0386
-50.067383	28.648937	373.9615	35.775814	-11.090448	-10.367654	-5218.813
-50.032894	28.64046	377.45645	43.592712	-10.259071	-7.1197534	-5147.1265
-49.998413	28.631973	380.95142	26.58412	-5.9686174	-2.3704915	-5040.953
-49.963936	28.623478	384.44638	-4.9656353	-0.5640876	1.2610068	-4879.7334
-49.929466	28.614975	387.94135	-32.527977	1.132211	1.1640316	-4691.8384
-49.895	28.606462	391.4363	-42.19272	-1.3303959	-2.476485	-4705.9287
-49.860542	28.597942	394.93127	-40.021896	-6.7941494	-7.1623735	-4827.008
-49.826088	28.589413	398.42624	-44.14101	-11.015132	-11.194459	-4973.9326
-49.79164	28.580873	401.9212	-61.033073	-13.600566	-13.656608	-5038.002
-49.7572	28.572327	405.41617	-82.23929	-14.00348	-14.266033	-4943.54
-49.722763	28.56377	408.91113	-93.32497	-12.418378	-13.023372	-4792.129
-49.68833	28.555206	412.4061	-85.019005	-8.961557	-10.318268	-4759.093
-49.653904	28.546633	415.90106	-60.00496	-6.3272676	-8.920527	-4830.185
-49.619484	28.538052	419.39603	-31.275276	-7.2578096	-9.907627	-4933.2183
-49.58507	28.52946	422.891	-11.548387	-11.83127	-11.792694	-5069.74
-49.55066	28.520863	426.38596	-2.4354851	-14.475959	-12.688798	-5129.812
-49.51626	28.512255	429.88092	5.187391	-13.908767	-11.530342	-5047.597
-49.48186	28.503637	433.3759	13.74441	-10.859004	-8.53533	-5022.007
-49.447468	28.495012	436.87085	15.792765	-6.496352	-4.9375315	-5007.878
-49.413082	28.48638	440.3658	7.479576	-1.5941024	-2.3205373	-4794.951
-49.3787	28.477736	443.86078	-3.7519038	-1.564818	-2.9847844	-4885.0195
-49.344326	28.469086	447.35574	-6.503966	-7.2945833	-8.806583	-5210.4487
-49.309956	28.460426	450.8507	5.7730436	-13.681294	-15.846153	-5363.9517
-49.275593	28.451757	454.34567	31.83191	-16.12468	-17.15638	-5253.25
-49.241234	28.44308	457.84064	61.10834	-13.783058	-12.541638	-5008.478
-49.206882	28.434395	461.3356	78.4094	-10.622836	-9.516266	-5054.624
-49.172535	28.425701	464.83057	76.59362	-10.208219	-11.342064	-5120.8716
-49.138195	28.416998	468.32553	58.069775	-10.250103	-13.287796	-5063.6104
-49.10386	28.408285	471.8205	35.61148	-8.226334	-11.52675	-5002.956
-49.069527	28.399567	475.31546	16.941092	-8.165329	-8.547395	-4860.813
-49.035202	28.390837	478.81042	8.738585	-9.256274	-8.098032	-4732.679
-49.000885	28.3821	482.3054	13.950572	-9.9113865	-10.591192	-4775.458
-48.96657	28.373354	485.80035	23.921154	-12.278621	-12.945149	-4621.8325
-48.932266	28.3646	489.29532	23.685177	-14.648353	-13.677327	-4863.452
-48.897964	28.355837	492.79028	15.1825285	-14.753926	-13.838955	-4982.25
