			GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Elevation (m)
-48.515625	33.753574	0.0	-4913.843
-48.480408	33.747406	3.3274248	-5007.9175
-48.445194	33.74123	6.6548495	-5168.4517
-48.40999	33.735043	9.982274	-5286.4077
-48.374786	33.728844	13.309699	-5251.7856
-48.339592	33.722637	16.637123	-5166.181
-48.304398	33.71642	19.964548	-5050.0913
-48.26921	33.710194	23.291973	-4918.1396
-48.23403	33.703957	26.619398	-4855.188
-48.198853	33.69771	29.946823	-4957.0986
-48.16368	33.691452	33.274246	-5075.554
-48.128517	33.685184	36.60167	-5182.593
-48.093357	33.678905	39.929092	-5160.457
-48.0582	33.67262	43.256516	-5298.1685
-48.02305	33.66632	46.58394	-5481.1226
-47.987904	33.660015	49.91136	-5480.038
-47.952763	33.653698	53.238785	-5323.175
-47.91763	33.64737	56.566208	-5181.576
-47.882496	33.641033	59.89363	-5038.8706
-47.847374	33.634686	63.221054	-4879.892
-47.812252	33.62833	66.54848	-4693.813
-47.777138	33.621964	69.8759	-4489.5674
-47.742027	33.615585	73.20332	-4306.7075
-47.706924	33.6092	76.53075	-4181.4927
-47.671825	33.602802	79.85817	-4152.551
-47.636734	33.596397	83.18559	-4210.982
-47.601643	33.58998	86.513016	-4343.6816
-47.56656	33.583553	89.84044	-4518.304
-47.531483	33.577118	93.16786	-4691.7446
-47.49641	33.57067	96.495285	-4836.2163
-47.46134	33.564217	99.82271	-4929.567
-47.42628	33.55775	103.15013	-4969.2163
-47.391224	33.551273	106.477554	-4959.5605
-47.35617	33.54479	109.80498	-4905.7944
-47.321125	33.538292	113.1324	-4875.602
-47.286083	33.531788	116.45982	-4883.6343
-47.251045	33.525272	119.78725	-4885.094
-47.216015	33.51875	123.11467	-4951.472
-47.180992	33.512215	126.44209	-5069.9214
-47.14597	33.50567	129.76952	-4919.48
-47.110954	33.499115	133.09694	-4797.5176
-47.075947	33.49255	136.42436	-4897.4775
-47.040943	33.485973	139.75179	-4547.002
-47.005943	33.47939	143.07921	-4321.229
-46.97095	33.472797	146.40663	-4419.9907
-46.935963	33.466194	149.73405	-4476.411
-46.900978	33.45958	153.06148	-4491.331
-46.866	33.452957	156.3889	-4544.4185
-46.831028	33.446323	159.71632	-4732.267
-46.796062	33.43968	163.04375	-4945.331
-46.7611	33.433025	166.37117	-4870.6567
-46.726143	33.426365	169.6986	-4795.17
-46.691193	33.419693	173.02602	-4806.008
-46.656246	33.41301	176.35344	-4833.9175
-46.621307	33.40632	179.68086	-4766.2563
-46.586372	33.399616	183.00829	-4583.7075
-46.551445	33.392902	186.33571	-4343.6167
-46.51652	33.38618	189.66313	-4128.3945
-46.4816	33.37945	192.99055	-4014.699
-46.44669	33.37271	196.31798	-4034.4624
-46.41178	33.36596	199.6454	-4149.23
