Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Vel.(m/s)
201,1225,A,1,H,1,60,0.6,1506
201,1225,A,1,H,1,110,1.1,1509.9
201,1225,A,1,H,2,45,1.95,1507.1
201,1225,A,1,H,2,55,2.05,1503.5
201,1225,A,1,H,2,75,2.25,1494.9
201,1225,A,1,H,2,85,2.35,1498.3
201,1225,A,1,H,2,145,2.95,1502.9
201,1225,A,1,H,3,10,3.1,1509.4
201,1225,A,1,H,3,20,3.2,1510.1
201,1225,A,1,H,3,40,3.4,1504.2
201,1225,A,1,H,3,50,3.5,1497.3
201,1225,A,1,H,3,70,3.7,1530.2
201,1225,A,1,H,3,80,3.8,1486.3
201,1225,A,2,H,1,30,4.6,1502.4
201,1225,A,2,H,1,50,4.8,1668.1
201,1225,A,2,H,1,60,4.9,1502.4
201,1225,A,2,H,1,100,5.3,1507.9
201,1225,A,2,H,2,40,6.2,1495.9
201,1225,A,2,H,2,50,6.3,2592.9
201,1225,A,2,H,2,60,6.4,1502.6
201,1225,A,2,H,2,70,6.5,1506.1
201,1225,A,2,H,2,90,6.7,1922
201,1225,A,2,H,4,30,9.1,1495.9
201,1225,A,2,H,4,40,9.2,1492.5
201,1225,A,2,H,4,50,9.3,1475.8
201,1225,A,2,H,4,60,9.4,1484.1
201,1225,A,2,H,4,70,9.5,1475.9
201,1225,A,2,H,4,130,10.1,1503.6
201,1225,A,2,H,5,40,10.7,1512.2
201,1225,A,2,H,5,60,10.9,1496.5
201,1225,A,2,H,5,70,11,2395
201,1225,A,2,H,5,140,11.7,1521.7
201,1225,A,2,H,6,30,12.1,1497.5
201,1225,A,2,H,6,40,12.2,1497.2
201,1225,A,2,H,6,50,12.3,1501.9
201,1225,A,2,H,6,60,12.4,1505.2
201,1225,A,2,H,7,50,13.8,3229.1
201,1225,A,2,H,7,70,14,1518.8
201,1225,A,3,H,4,40,18.7,1506.3
201,1225,A,3,H,4,50,18.8,1499.5
201,1225,A,3,H,4,80,19.1,1489.3
201,1225,A,3,H,4,90,19.2,1493.5
201,1225,A,3,H,4,110,19.4,1497.6
201,1225,A,3,H,4,120,19.5,1500.9
201,1225,A,3,H,5,20,20,1496.1
201,1225,A,3,H,5,40,20.2,1494.1
201,1225,A,3,H,5,50,20.3,1489.1
201,1225,A,3,H,5,70,20.5,1497.5
201,1225,A,3,H,5,80,20.6,1516.5
201,1225,A,3,H,5,90,20.7,1502.6
201,1225,A,3,H,5,110,20.9,1494.7
201,1225,A,3,H,5,120,21,1431
201,1225,A,3,H,6,10,21.4,1521.5
201,1225,A,3,H,6,40,21.7,1507.2
201,1225,A,3,H,6,70,22,1502
201,1225,A,3,H,6,80,22.1,1508.7
201,1225,A,3,H,6,110,22.4,1509.1
201,1225,A,3,H,6,130,22.6,1544.4
201,1225,A,3,H,6,140,22.7,1505.6
201,1225,A,3,H,7,40,23.2,1506.1
201,1225,A,4,H,2,80,25.6,1503.2
201,1225,A,4,H,2,110,25.9,1507.7
201,1225,A,4,H,2,120,26,2678.5
201,1225,A,4,H,2,140,26.2,1497.4
201,1225,A,4,H,3,103,27.33,1510.9
201,1225,A,4,H,3,133,27.63,1512.6
201,1225,A,4,H,4,20,28,1514.8
201,1225,A,4,H,4,40,28.2,1502.7
201,1225,A,4,H,4,50,28.3,1480.6
201,1225,A,4,H,4,60,28.4,1482.1
201,1225,A,4,H,4,80,28.6,1500.4
201,1225,A,4,H,4,90,28.7,1495.4
201,1225,A,4,H,4,110,28.9,1927.1
201,1225,A,4,H,4,120,29,1500.1
201,1225,A,4,H,5,40,29.7,1499.6
201,1225,A,4,H,5,50,29.8,1489.5
201,1225,A,4,H,5,70,30,1506.3
201,1225,A,4,H,5,80,30.1,1497.8
201,1225,A,4,H,5,90,30.2,1506.3
201,1225,A,4,H,5,110,30.4,3039
201,1225,A,4,H,5,120,30.5,1507.2
201,1225,A,4,H,5,140,30.7,1501
201,1225,A,4,H,6,10,30.9,1505.6
201,1225,A,4,H,6,20,31,1517.2
201,1225,A,4,H,6,40,31.2,1500.7
201,1225,A,4,H,6,80,31.6,1516
201,1225,A,4,H,6,90,31.7,1516
201,1225,A,4,H,6,120,32,1507
201,1225,A,4,H,6,140,32.2,1508.6
201,1225,A,4,H,7,10,32.4,1672.5
201,1225,A,5,H,5,0,38.8,1442.6
201,1225,A,5,H,5,40,39.2,1534.3
201,1225,A,5,H,5,120,40,1511.2
201,1225,A,5,H,6,40,40.7,1376
201,1225,A,5,H,6,80,41.1,1509.1
201,1225,A,5,H,6,130,41.6,1507.8
201,1225,A,6,H,2,20,44,1500.3
201,1225,A,6,H,2,30,44.1,1496.2
201,1225,A,6,H,2,40,44.2,1501.5
201,1225,A,6,H,2,50,44.3,1505.6
201,1225,A,6,H,2,60,44.4,1507.1
201,1225,A,6,H,2,90,44.7,1515.6
201,1225,A,6,H,2,100,44.8,1490.6
201,1225,A,6,H,2,120,45,1500.4
201,1225,A,6,H,2,130,45.1,1507.3
201,1225,A,6,H,3,130,46.6,1499.9
201,1225,A,6,H,4,10,46.9,1505.3
201,1225,A,6,H,4,40,47.2,1505.9
201,1225,A,6,H,4,70,47.5,1505.9
201,1225,A,6,H,4,80,47.6,1505.7
201,1225,A,6,H,4,110,47.9,1497.5
201,1225,A,6,H,4,130,48.1,1499.2
201,1225,A,6,H,4,140,48.2,1512.8
201,1225,A,6,H,5,30,48.6,1501.2
201,1225,A,6,H,5,50,48.8,1500.6
201,1225,A,6,H,5,60,48.9,1500.7
201,1225,A,6,H,5,70,49,1509.3
201,1225,A,6,H,5,100,49.3,1510.4
201,1225,A,6,H,5,120,49.5,1511.5
201,1225,A,6,H,5,130,49.6,1506.5
201,1225,A,6,H,6,40,50.2,1504.4
201,1225,A,6,H,6,50,50.3,1511.1
201,1225,A,6,H,6,60,50.4,1504
201,1225,A,6,H,6,100,50.8,1511.6
201,1225,A,6,H,6,120,51,1493.9
201,1225,A,6,H,7,10,51.4,1516.9
201,1225,A,6,H,7,20,51.5,1518.9
201,1225,A,7,H,1,100,52.8,1500.7
201,1225,A,7,H,2,40,53.7,1509.5
201,1225,A,7,H,2,70,54,1509
201,1225,A,7,H,2,100,54.3,1927.5
201,1225,A,7,H,2,120,54.5,1503.1
201,1225,A,7,H,2,130,54.6,1509.8
201,1225,A,7,H,3,20,55,1489.1
201,1225,A,7,H,3,30,55.1,1502.6
201,1225,A,7,H,3,40,55.2,1499.2
201,1225,A,7,H,3,50,55.3,1886.4
201,1225,A,7,H,3,60,55.4,1640.6
201,1225,A,7,H,3,80,55.6,1487.4
201,1225,A,7,H,3,90,55.7,1490.7
201,1225,A,7,H,4,50,56.8,1498.7
201,1225,A,7,H,4,70,57,1513.9
201,1225,A,7,H,4,80,57.1,1512.2
201,1225,A,7,H,4,110,57.4,1497.2
201,1225,A,7,H,4,140,57.7,1500.8
201,1225,A,7,H,5,30,58.14,1505.7
201,1225,A,7,H,5,40,58.24,1504.1
201,1225,A,7,H,5,50,58.34,1481.7
201,1225,A,7,H,5,60,58.44,1505.7
201,1225,A,7,H,5,110,58.94,1520.8
201,1225,A,7,H,5,130,59.14,1530
201,1225,A,7,H,6,20,59.54,1494
201,1225,A,7,H,6,30,59.64,1502.3
201,1225,A,7,H,6,40,59.74,1500.5
201,1225,A,7,H,6,50,59.84,1491.8
201,1225,A,7,H,6,60,59.94,1498.8
201,1225,A,7,H,6,80,60.14,1500.7
201,1225,A,7,H,6,100,60.34,1509
201,1225,A,7,H,6,120,60.54,1503.5
201,1225,A,8,H,2,30,63.1,1509.6
201,1225,A,8,H,2,40,63.2,1509.5
201,1225,A,8,H,2,50,63.3,1504.4
201,1225,A,8,H,2,60,63.4,1511.2
201,1225,A,8,H,2,70,63.5,1004.7
201,1225,A,8,H,2,90,63.7,1178.4
201,1225,A,8,H,2,100,63.8,1515.3
201,1225,A,8,H,4,110,66.9,1511.4
201,1225,A,8,H,5,20,67.5,1498.4
201,1225,A,8,H,5,30,67.6,1496.5
201,1225,A,8,H,5,40,67.7,1500.1
201,1225,A,8,H,5,50,67.8,1498.5
201,1225,A,8,H,5,60,67.9,1505.2
201,1225,A,8,H,5,70,68,1506.8
201,1225,A,8,H,5,90,68.2,1518.2
201,1225,A,8,H,5,100,68.3,1516.2
201,1225,A,8,H,5,120,68.5,1508.8
201,1225,A,8,H,5,130,68.6,1508.9
