Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Density (g/cc)
201,1225,A,1,H,1,0,0,0.479
201,1225,A,1,H,1,10,0.1,1.408
201,1225,A,1,H,1,20,0.2,1.43
201,1225,A,1,H,1,30,0.3,1.378
201,1225,A,1,H,1,40,0.4,1.407
201,1225,A,1,H,1,50,0.5,1.391
201,1225,A,1,H,1,60,0.6,1.399
201,1225,A,1,H,1,70,0.7,1.403
201,1225,A,1,H,1,80,0.8,1.459
201,1225,A,1,H,1,90,0.9,1.44
201,1225,A,1,H,1,100,1,1.444
201,1225,A,1,H,1,110,1.1,1.446
201,1225,A,1,H,1,120,1.2,1.407
201,1225,A,1,H,1,130,1.3,1.425
201,1225,A,1,H,1,140,1.4,1.424
201,1225,A,1,H,1,150,1.5,0.635
201,1225,A,1,H,2,15,1.65,-0.042
201,1225,A,1,H,2,25,1.75,1.405
201,1225,A,1,H,2,35,1.85,1.418
201,1225,A,1,H,2,45,1.95,1.373
201,1225,A,1,H,2,55,2.05,1.432
201,1225,A,1,H,2,65,2.15,1.431
201,1225,A,1,H,2,75,2.25,1.391
201,1225,A,1,H,2,85,2.35,1.43
201,1225,A,1,H,2,95,2.45,1.416
201,1225,A,1,H,2,105,2.55,1.419
201,1225,A,1,H,2,115,2.65,1.409
201,1225,A,1,H,2,125,2.75,1.425
201,1225,A,1,H,2,135,2.85,1.4
201,1225,A,1,H,2,145,2.95,1.405
201,1225,A,1,H,3,0,3,0.245
201,1225,A,1,H,3,10,3.1,1.422
201,1225,A,1,H,3,20,3.2,1.372
201,1225,A,1,H,3,30,3.3,1.382
201,1225,A,1,H,3,40,3.4,1.3
201,1225,A,1,H,3,50,3.5,1.319
201,1225,A,1,H,3,60,3.6,1.346
201,1225,A,1,H,3,70,3.7,1.444
201,1225,A,1,H,3,80,3.8,1.398
201,1225,A,1,H,3,90,3.9,1.435
201,1225,A,2,H,1,0,4.3,0.627
201,1225,A,2,H,1,10,4.4,1.413
201,1225,A,2,H,1,20,4.5,1.479
201,1225,A,2,H,1,30,4.6,1.496
201,1225,A,2,H,1,40,4.7,1.415
201,1225,A,2,H,1,50,4.8,1.523
201,1225,A,2,H,1,60,4.9,1.531
201,1225,A,2,H,1,70,5,1.531
201,1225,A,2,H,1,80,5.1,1.491
201,1225,A,2,H,1,90,5.2,1.538
201,1225,A,2,H,1,100,5.3,1.549
201,1225,A,2,H,1,110,5.4,1.503
201,1225,A,2,H,1,120,5.5,1.528
201,1225,A,2,H,1,130,5.6,1.534
201,1225,A,2,H,1,140,5.7,1.547
201,1225,A,2,H,2,0,5.8,0.078
201,1225,A,2,H,2,10,5.9,1.532
201,1225,A,2,H,2,20,6,1.52
201,1225,A,2,H,2,30,6.1,1.496
201,1225,A,2,H,2,40,6.2,1.413
201,1225,A,2,H,2,50,6.3,1.371
201,1225,A,2,H,2,60,6.4,1.393
201,1225,A,2,H,2,70,6.5,1.463
201,1225,A,2,H,2,80,6.6,1.5
201,1225,A,2,H,2,90,6.7,1.49
201,1225,A,2,H,2,100,6.8,1.496
201,1225,A,2,H,2,110,6.9,1.491
201,1225,A,2,H,2,120,7,1.489
201,1225,A,2,H,2,130,7.1,1.453
201,1225,A,2,H,2,140,7.2,1.525
201,1225,A,2,H,2,150,7.3,1.516
201,1225,A,2,H,3,102,8.32,-0.185
201,1225,A,2,H,3,112,8.42,1.421
201,1225,A,2,H,3,122,8.52,1.417
201,1225,A,2,H,3,132,8.62,1.478
201,1225,A,2,H,3,142,8.72,1.447
201,1225,A,2,H,4,0,8.8,0.42
201,1225,A,2,H,4,10,8.9,1.482
201,1225,A,2,H,4,20,9,1.52
201,1225,A,2,H,4,30,9.1,1.502
201,1225,A,2,H,4,40,9.2,1.515
201,1225,A,2,H,4,50,9.3,1.518
201,1225,A,2,H,4,60,9.4,1.456
201,1225,A,2,H,4,70,9.5,1.475
201,1225,A,2,H,4,80,9.6,1.463
201,1225,A,2,H,4,90,9.7,1.447
201,1225,A,2,H,4,100,9.8,1.493
201,1225,A,2,H,4,110,9.9,1.49
201,1225,A,2,H,4,120,10,1.494
201,1225,A,2,H,4,130,10.1,1.497
201,1225,A,2,H,4,140,10.2,1.495
201,1225,A,2,H,4,150,10.3,1.117
201,1225,A,2,H,5,0,10.3,0.326
201,1225,A,2,H,5,10,10.4,1.494
201,1225,A,2,H,5,20,10.5,1.475
201,1225,A,2,H,5,30,10.6,1.459
201,1225,A,2,H,5,40,10.7,1.45
201,1225,A,2,H,5,50,10.8,1.521
201,1225,A,2,H,5,60,10.9,1.496
201,1225,A,2,H,5,70,11,1.462
201,1225,A,2,H,5,80,11.1,1.417
201,1225,A,2,H,5,90,11.2,1.414
201,1225,A,2,H,5,100,11.3,1.422
201,1225,A,2,H,5,110,11.4,1.48
201,1225,A,2,H,5,120,11.5,1.493
201,1225,A,2,H,5,130,11.6,1.476
201,1225,A,2,H,5,140,11.7,1.513
201,1225,A,2,H,5,150,11.8,1.511
201,1225,A,2,H,6,0,11.8,0.474
201,1225,A,2,H,6,10,11.9,1.502
201,1225,A,2,H,6,20,12,1.511
201,1225,A,2,H,6,30,12.1,1.461
201,1225,A,2,H,6,40,12.2,1.49
201,1225,A,2,H,6,50,12.3,1.405
201,1225,A,2,H,6,60,12.4,1.361
201,1225,A,2,H,6,70,12.5,1.398
201,1225,A,2,H,6,80,12.6,1.391
201,1225,A,2,H,6,90,12.7,1.429
201,1225,A,2,H,6,100,12.8,1.451
201,1225,A,2,H,6,110,12.9,1.503
201,1225,A,2,H,6,120,13,1.505
201,1225,A,2,H,6,130,13.1,1.501
201,1225,A,2,H,6,140,13.2,1.479
201,1225,A,2,H,7,0,13.3,-0.036
201,1225,A,2,H,7,10,13.4,1.512
201,1225,A,2,H,7,20,13.5,1.461
201,1225,A,2,H,7,30,13.6,1.407
201,1225,A,2,H,7,40,13.7,1.438
201,1225,A,2,H,7,50,13.8,1.416
201,1225,A,2,H,7,60,13.9,1.467
201,1225,A,2,H,7,70,14,1.449
201,1225,A,3,H,1,0,13.8,0.57
201,1225,A,3,H,1,10,13.9,1.299
201,1225,A,3,H,1,20,14,1.345
201,1225,A,3,H,1,30,14.1,1.329
